trade_date,Closed PnL,classification,Execution Price,Side,leverage
2024-03-12,0.0,Extreme Greed,230.61,Buy,1.0000005798042402
2024-03-12,0.0,Extreme Greed,230.62,Buy,0.999997697626176
2024-03-12,0.0,Extreme Greed,230.63,Buy,0.999999436889694
2024-03-12,0.0,Extreme Greed,230.7,Buy,0.9999995929921387
2024-03-12,0.0,Extreme Greed,230.72,Buy,1.0000010582115095
2024-03-12,0.0,Extreme Greed,230.78,Buy,0.9999971519325969
2024-03-12,0.0,Extreme Greed,230.8,Buy,1.0000001170461439
2024-03-12,0.0,Extreme Greed,230.81,Buy,1.0000001278043633
2024-03-12,0.0,Extreme Greed,230.81,Buy,0.9999995786185053
2024-03-12,0.0,Extreme Greed,230.84,Buy,1.0000012339383098
2024-03-12,0.0,Extreme Greed,230.84,Buy,0.9999999264515306
2024-03-12,139.418262,Extreme Greed,242.49,Sell,0.9999993861610911
2024-03-12,81.421585,Extreme Greed,242.47,Sell,1.0000021455487849
2024-03-12,128.537643,Extreme Greed,242.46,Sell,1.0000005430801004
2024-03-12,0.563574,Extreme Greed,242.45,Sell,1.0002062280882658
2024-03-12,34.234672,Extreme Greed,242.36,Sell,0.9999946181390241
2024-03-12,939.42948,Extreme Greed,242.34,Sell,1.0000000815500778
2024-03-12,28.931448,Extreme Greed,242.33,Sell,1.0000005290518228
2024-03-12,34.643246,Extreme Greed,242.32,Sell,1.0000035309300646
2024-03-12,0.647703,Extreme Greed,242.31,Sell,0.9998997741971619
2024-03-12,269.166861,Extreme Greed,242.31,Sell,1.0000002979231395
2024-03-12,278.396148,Extreme Greed,242.3,Sell,1.0000005480896608
2024-03-12,41.685479,Extreme Greed,242.3,Sell,0.99999725469059
2024-03-12,40.532431,Extreme Greed,242.29,Sell,0.9999970855159451
2024-03-12,1545.740362,Extreme Greed,242.27,Sell,0.999999985239148
2024-03-12,28.375161,Extreme Greed,242.24,Sell,0.9999978624531343
2024-03-12,1026.702945,Extreme Greed,242.22,Sell,0.9999999631550358
2024-03-12,272.93661,Extreme Greed,241.89,Sell,0.9999998662100148
2024-03-12,169.265096,Extreme Greed,241.42,Sell,0.9999998362783048
2024-03-12,28.282431,Extreme Greed,241.4,Sell,1.0000048879080488
2024-03-12,123.076933,Extreme Greed,241.39,Sell,0.9999999158563234
2024-03-12,123.262149,Extreme Greed,241.38,Sell,1.000000615412537
2024-03-12,281.038797,Extreme Greed,241.34,Sell,1.000000464056039
2024-03-12,241.607196,Extreme Greed,241.32,Sell,1.0000004535020905
2024-03-12,25.686648,Extreme Greed,241.29,Sell,0.9999936240145119
2024-03-12,143.982979,Extreme Greed,241.28,Sell,0.9999993372487415
2024-03-12,35.639115,Extreme Greed,241.25,Sell,1.0000023822285748
2024-03-12,143.457679,Extreme Greed,241.25,Sell,1.0000005918157795
2024-03-12,569.65113,Extreme Greed,241.23,Sell,0.9999999405248008
2024-03-12,246.854931,Extreme Greed,241.18,Sell,0.9999999727128609
2024-03-12,264.887769,Extreme Greed,241.18,Sell,1.000000025429505
2024-03-12,142.138008,Extreme Greed,241.17,Sell,1.0000003786714804
2024-03-12,23.388481,Extreme Greed,241.15,Sell,0.9999949779279935
2024-03-12,0.646632,Extreme Greed,241.14,Sell,0.9999377954715103
2024-03-12,5.65803,Extreme Greed,241.14,Sell,1.0000118484816174
2024-03-12,0.646632,Extreme Greed,241.14,Sell,0.9999377954715103
2024-03-12,1.374093,Extreme Greed,241.14,Sell,0.9999073030555841
2024-03-12,0.646632,Extreme Greed,241.14,Sell,0.9999377954715103
2024-03-12,140.816737,Extreme Greed,241.09,Sell,1.000000544210257
2024-03-12,140.290837,Extreme Greed,241.06,Sell,0.9999995740433164
2024-03-12,27.895221,Extreme Greed,241.05,Sell,0.9999946509094344
2024-03-12,78.471907,Extreme Greed,241.04,Sell,0.9999986494603413
2024-03-12,32.72989,Extreme Greed,241.04,Sell,0.9999959524985228
2024-03-12,263.276042,Extreme Greed,241.04,Sell,1.0000001006352703
2024-03-12,252.583188,Extreme Greed,241.02,Sell,0.999999424472055
2024-03-12,38.456694,Extreme Greed,240.97,Sell,0.9999964136716982
2024-03-12,263.228215,Extreme Greed,240.95,Sell,0.9999996888876583
2024-03-12,4.887398,Extreme Greed,240.94,Sell,0.9999812562088808
2024-04-12,0.0,Extreme Greed,11.076,Sell,1.0495374140547824
2025-04-03,0.0,Fear,0.60975,Buy,0.999999840909905
2025-04-03,0.0,Fear,0.60975,Buy,0.9999890465117327
2025-04-03,0.0,Fear,0.60976,Buy,1.0000002699762756
2025-04-03,0.0,Fear,0.60981,Buy,0.9999977884001888
2025-04-03,0.0,Fear,0.61007,Buy,1.0000003702223592
2025-04-03,0.0,Fear,0.61018,Buy,1.0000023410502943
2025-04-03,0.0,Fear,0.61033,Buy,1.0000019208567974
2025-04-03,0.0,Fear,0.61039,Buy,0.9999996459967917
2025-04-03,0.0,Fear,0.61041,Buy,1.0000008423346378
2025-04-03,0.0,Fear,0.61041,Buy,0.9999986782096082
2025-04-03,0.0,Fear,0.61102,Buy,1.0000000564430098
2025-04-03,0.0,Fear,0.61087,Buy,0.999996863402327
2025-04-03,0.0,Fear,0.61089,Buy,1.0000002536488646
2025-04-03,0.0,Fear,0.61103,Buy,1.0000017861161619
2025-04-03,0.0,Fear,0.61103,Buy,0.999998267177065
2025-04-03,0.0,Fear,0.61103,Buy,1.0000000738231816
2025-04-03,0.0,Fear,0.61126,Buy,0.9999999930811971
2025-04-03,0.0,Fear,0.6089,Buy,0.9999981139152239
2025-04-03,0.0,Fear,0.6089,Buy,0.9999990159630984
2025-04-03,0.0,Fear,0.60891,Buy,1.0000061014542554
2025-04-03,0.0,Fear,0.60914,Buy,1.0000001317079636
2024-12-12,0.0,Extreme Greed,17.92,Sell,1.000001155087725
2024-12-12,0.0,Extreme Greed,17.92,Sell,1.0000233732236348
2024-12-12,0.0,Extreme Greed,17.92,Sell,0.9999929088296102
2024-12-12,0.0,Extreme Greed,17.92,Sell,0.9999999999999999
2024-12-12,0.0,Extreme Greed,17.92,Sell,0.9999999999999999
2024-12-12,0.0,Extreme Greed,17.92,Sell,1.0
2024-12-12,0.0,Extreme Greed,17.92,Sell,0.9999034168956045
2024-12-12,0.0,Extreme Greed,17.92,Sell,1.0001717032967032
2024-12-12,0.0,Extreme Greed,17.92,Sell,1.0000587406015038
2024-12-12,0.0,Extreme Greed,17.92,Sell,1.0000587406015036
2024-12-12,0.0,Extreme Greed,17.92,Sell,0.9999999999999999
2024-12-12,0.0,Extreme Greed,17.92,Sell,1.0000062025504886
2024-12-12,0.0,Extreme Greed,17.92,Sell,0.9999999999999998
2024-12-12,0.0,Extreme Greed,17.92,Sell,0.9999903786945812
2024-12-12,0.0,Extreme Greed,17.89,Sell,1.0000018010722656
2024-12-12,0.0,Extreme Greed,17.89,Sell,1.0
2024-12-12,0.0,Extreme Greed,17.89,Sell,0.9999994477798442
2025-02-01,0.0,Greed,25.977,Sell,1.0000005257100932
2025-02-01,0.0,Greed,25.977,Sell,0.999999490357052
2025-02-01,0.0,Greed,25.31,Sell,1.0
2025-03-01,0.0,Extreme Fear,24.255,Sell,1.0
2025-03-01,0.0,Extreme Fear,24.27,Sell,1.0000021553512521
2025-03-01,0.0,Extreme Fear,24.27,Sell,1.0000047359921194
2025-03-01,0.0,Extreme Fear,24.27,Sell,0.9999952231473392
2025-03-01,0.0,Extreme Fear,24.27,Sell,0.9999993456358163
2025-03-01,0.0,Extreme Fear,24.27,Sell,1.0000000953177304
2025-04-01,0.0,Fear,23.655,Sell,0.9999999999999998
2025-05-01,0.0,Neutral,25.455,Sell,0.9999931744186312
2025-05-01,0.0,Neutral,25.455,Sell,0.999992128352521
2025-05-01,0.0,Neutral,25.455,Sell,1.000002207023189
2025-05-01,0.0,Neutral,25.455,Sell,0.9995853248652308
2025-05-01,0.0,Neutral,25.455,Sell,1.0000114700767204
2025-05-01,0.0,Neutral,25.455,Sell,1.0000841821702164
2025-05-01,0.0,Neutral,25.455,Sell,0.9999993493900324
2025-05-01,0.0,Neutral,25.455,Sell,0.9999999898807344
2025-02-02,0.0,Greed,0.012122,Sell,1.0000048699244357
2025-02-02,0.0,Greed,0.012122,Sell,1.0000022676876668
2025-02-02,0.0,Greed,0.012122,Sell,0.9999994756059033
2025-02-02,0.0,Greed,21.277,Sell,1.0000116876086234
2025-02-02,0.0,Greed,21.277,Sell,1.000000758050113
2025-02-02,0.0,Greed,21.277,Sell,1.000000758050113
2025-02-02,0.0,Greed,21.277,Sell,0.9999963846840757
2025-02-02,0.0,Greed,21.277,Sell,1.000000758050113
2025-02-02,0.0,Greed,21.277,Sell,1.000005576165239
2025-02-02,0.0,Greed,21.277,Sell,1.000000758050113
2025-02-02,0.0,Greed,21.277,Sell,0.9999963846840755
2025-02-02,0.0,Greed,21.277,Sell,1.000000758050113
2025-02-02,0.0,Greed,21.277,Sell,0.9999963846840755
2025-02-02,0.0,Greed,21.277,Sell,0.9999963846840755
2025-02-02,0.0,Greed,21.277,Sell,0.9999963846840755
2025-02-02,0.0,Greed,21.277,Sell,0.9999963846840755
2025-02-02,0.0,Greed,21.277,Sell,0.9999963846840756
2025-02-02,0.0,Greed,21.277,Sell,0.9999963846840755
2025-02-02,0.0,Greed,21.277,Sell,0.9999963846840757
2025-02-02,0.0,Greed,21.277,Sell,0.9999963846840757
2025-02-02,0.0,Greed,21.277,Sell,0.9999921970594529
2025-02-02,0.0,Greed,21.277,Sell,0.9999921970594529
2025-02-02,0.0,Greed,21.277,Sell,0.9999921970594529
2025-02-02,0.0,Greed,21.277,Sell,0.9999921970594529
2025-02-02,0.0,Greed,21.277,Sell,1.000000758050113
2025-02-02,0.0,Greed,21.277,Sell,0.9999963846840756
2025-02-02,0.0,Greed,21.277,Sell,0.9999921970594529
2025-02-02,0.0,Greed,21.277,Sell,0.9999963846840757
2025-02-02,0.0,Greed,21.277,Sell,1.000000758050113
2025-02-02,0.0,Greed,21.277,Sell,1.000000758050113
2025-02-02,0.0,Greed,21.277,Sell,0.9999963846840757
2025-02-02,0.0,Greed,21.277,Sell,0.9999946793463754
2025-02-02,0.0,Greed,21.277,Sell,0.9999907939893472
2025-02-02,0.0,Greed,21.277,Sell,1.0000050962887126
2025-02-02,0.0,Greed,21.277,Sell,1.0000072170913397
2025-02-02,0.0,Greed,21.277,Sell,1.0000021363230462
2025-02-02,0.0,Greed,21.277,Sell,0.9999983214604635
2025-04-02,0.0,Fear,3.75,Sell,1.0
2025-01-03,0.0,Greed,0.007995,Sell,1.0000002953957268
2025-01-03,0.0,Greed,0.007995,Sell,1.0000041164196662
2025-01-03,0.0,Greed,0.007995,Sell,1.0000041164196662
2025-01-03,0.0,Greed,0.007995,Sell,0.9998197343549058
2025-01-03,0.0,Greed,0.237,Buy,1.0000054479138576
2025-01-03,0.0,Greed,0.237,Buy,0.9998428300267188
2025-01-03,0.0,Greed,0.237,Buy,1.000002625643611
2025-01-03,0.0,Greed,0.237,Buy,1.0000028587179024
2025-01-03,0.0,Greed,0.237,Buy,0.9999960130088487
2025-01-03,0.0,Greed,0.237,Buy,1.000001009347568
2025-01-03,0.0,Greed,0.237,Buy,1.000002468055581
2025-01-03,0.0,Greed,0.237,Buy,1.0000354572208632
2025-01-03,0.0,Greed,0.237,Buy,1.00000220000484
2025-01-03,0.0,Greed,0.237,Buy,0.999988499134736
2025-02-03,5565.517755,Fear,18.48,Buy,1.0000000229711459
2025-02-03,723.959705,Fear,18.48,Buy,0.9999984106617051
2025-02-03,722.9556,Fear,18.48,Buy,0.9999991158079392
2025-02-03,11.57674,Fear,18.48,Buy,0.9999779132432194
2025-02-03,186.350075,Fear,18.48,Buy,0.9999931394543121
2025-02-03,189.657715,Fear,18.48,Buy,0.9999952813717996
2025-02-03,7.146865,Fear,18.48,Buy,0.9999642231047189
2025-02-03,390.006195,Fear,18.48,Buy,0.9999963941354219
2025-02-03,1228.552,Fear,18.48,Buy,1.0
2025-02-03,29.709695,Fear,18.48,Buy,0.9999526649626053
2025-02-03,7.56032,Fear,18.48,Buy,0.9998139880952379
2025-02-03,11.813,Fear,18.48,Buy,1.0
2025-02-03,615.280105,Fear,18.48,Buy,0.9999991688577654
2025-02-03,11.813,Fear,18.48,Buy,1.0
2025-02-03,11.813,Fear,18.48,Buy,1.0
